beta0,beta1,beta2,chains
8.699620202091081,-0.11150162091097601,5.445721123308393,1
8.10586949594722,-0.03878401789193098,5.441318437410585,1
8.715131500678105,-0.004360774806566707,5.231321359931299,1
8.14342057657219,-0.08706683849040664,5.302950263425128,1
8.273342654553721,-0.0812200502687636,5.187982454600792,1
7.660093005798098,0.03708887935614384,5.203261535292367,1
7.9544450077080135,-0.04835799138031155,4.755021812758512,1
8.459988835190417,-0.0035598315297033223,4.971892174191411,1
7.542625106769276,-0.022512250456774727,5.078476889601676,1
7.061783404524543,-0.014079824903799288,4.941130071031782,1
6.942823018124092,0.06989813098463131,4.8315218116603225,1
7.103081581696821,0.023513875891962924,4.733369512967695,1
6.320737325926679,0.016511082312341687,4.986070693197763,1
6.947202325512311,0.03256530910646506,4.951741948791278,1
6.952119449087071,0.03048645334939954,4.517942449421322,1
6.681444577919955,0.040571256936294944,4.476692131205062,1
6.880333625366127,0.055010652377246366,4.897071018370376,1
7.696053744859978,-0.006969250458193528,4.819721703865742,1
6.959403082635919,0.003870941654560426,4.797464615876053,1
7.477830615049835,0.044465643428909116,4.774236633152746,1
7.615091366322251,-0.045565840550923165,4.64358902542539,1
7.01339069869441,0.08277146721067108,4.626663814703438,1
5.857844954256852,0.15446227368770427,4.690805625157362,1
6.429888223922437,0.24774217519416775,4.562467579096256,1
6.931845746648227,0.20248967417339475,4.14865085051318,1
6.601658445481366,0.12635271879720983,4.158373227454622,1
7.34887912616112,0.09711253244771484,4.093756421998454,1
7.316241648447761,0.1377713423597617,3.8733054279279786,1
7.70738855173789,0.13309428120233963,3.6128254499517336,1
8.447779666040889,0.13311665207434828,3.3710295259657355,1
8.343202493052068,0.14895887320669374,3.745918991522324,1
7.471371240976949,0.18062836254582287,3.838964469542735,1
7.421288175145731,0.28078202350202686,4.145676544556234,1
6.882270039727193,0.40794125865723097,4.718668416360877,1
6.831890339076523,0.3331507264361064,4.833575431448819,1
6.049979983992389,0.48921648064170403,4.627672448077927,1
5.605764938840563,0.6761506528102337,4.882602183084982,1
4.670257528778043,0.6151680756114352,4.8321725995923925,1
4.748067318995958,0.618665368326588,4.922408568665479,1
3.98115660956745,0.49939260369977295,4.969278315557533,1
3.1122129390489848,0.5411112799529953,4.993225248859082,1
2.705211550344127,0.6089825878046529,5.09900013728279,1
3.029510378931781,0.7338047269749208,5.104839110498757,1
3.2983705243639307,0.4945751106238391,5.4633460066180115,1
2.845985239340564,0.5958187237226134,5.668409908578916,1
2.078077357069099,0.6810075481470705,6.028688460054146,1
1.8253496532965865,0.5849055319960024,6.165729914424514,1
1.6761012372260036,0.46921385523957204,6.035665316466854,1
1.9619047258094628,0.4631527828455654,6.2535338354565155,1
2.033424145204659,0.4196813720606996,6.488304029639563,1
3.089611757147434,0.42172476370742357,5.962409844844624,1
2.560627647375625,0.4360164292756081,5.8968434107807335,1
2.5949472503333633,0.5286778143321866,6.021311954769633,1
1.3650207838765605,0.5006409170725051,6.214127944830213,1
0.17031373409795192,0.5103875243024574,6.445642353972163,1
-0.13761817432641776,0.44045019029984006,6.324963312511161,1
-0.538725966334433,0.3523652644403653,6.30434765162588,1
-0.16685930710446495,0.4327113174348663,6.607826851692778,1
-0.4374056306957371,0.5728551002114298,7.037570055384612,1
0.05704979811596694,0.5398703808013886,7.14611189372213,1
-0.1203647798349356,0.539200914752799,7.389932871061255,1
0.9233501239270063,0.30594587193140027,7.33440325048451,1
1.323390859560751,0.23473005148918089,7.711893400558058,1
1.344013296649341,0.36098572410193236,7.922004775358418,1
1.0574987025180769,0.26702962032180283,8.120117415519584,1
1.6715825381474128,0.2906655806925438,8.246406650229003,1
1.7105936500819798,0.3525055752484223,8.683507985503942,1
2.7780459208933,0.21642699446069608,8.682493886385206,1
3.0705970298909264,0.23777269262873071,8.57547136047494,1
2.369636478413638,0.1401010581673874,8.54078501438301,1
2.528866791605142,0.02951574065880465,8.482699466151347,1
2.212763341825884,-0.09910899185852455,8.426068021851414,1
2.554987427008877,-0.16859754397136062,8.620804330197988,1
2.634372906142352,-0.18749174752857325,8.765765251698365,1
2.3452243782340707,-0.16871302534764812,8.703169963089579,1
2.0555276183204967,-0.11465972412941677,8.350993784655268,1
1.7021318300796222,-0.15656674205548843,8.551517753308902,1
2.4622635371347963,-0.13407513308980243,8.409315205783104,1
2.6206842387161,-0.160637522523009,8.21321215632296,1
1.5701675127294057,-0.2880165377137557,8.779789062837999,1
1.412237524161955,-0.2767245549940859,8.82380815947278,1
0.9551669450180623,-0.21346307162062872,9.04808487167837,1
0.36542403142239765,-0.06418124194347113,9.20285742516596,1
-0.5849067283822926,-0.06449295637693174,9.527717338882516,1
-1.4050924776435254,-0.21971449720072,9.507953605897839,1
-2.4288943211451324,-0.2351440455661162,9.752826143351779,1
-3.0950049306749623,-0.1983967688425947,9.76794622838698,1
-2.3050551030120987,-0.17840913689436427,9.780714886563729,1
-1.5312238881260192,-0.20565346340554108,9.740144554424958,1
-1.5986556645937373,-0.1812813079050905,9.428161832819107,1
-0.8417023833437582,-0.09255154781662031,9.257061860505578,1
-1.5428446572294732,-0.025153044466768054,9.301882205155005,1
