beta0,beta1,beta2,chains
2.545289423161674,-0.5980927100408301,-0.8429915959341523,1
2.2602731541204557,-0.5347358233997702,-1.3462155883623104,1
2.0603331977807002,-0.5092678294461108,-1.5210574331281432,1
1.8579071919793144,-0.4840428475231204,-1.790694333640701,1
2.0465671259501037,-0.5467394485290901,-1.7943900435719966,1
2.1909303717709108,-0.5709206743046745,-1.6686076127571257,1
2.5974198884789015,-0.6467700333554796,-1.8557942505452836,1
1.5937968025240519,-0.48317892349177516,-1.8388950100714307,1
1.5635283323740123,-0.471134069694876,-1.4109676759710506,1
1.2439405011620348,-0.43003174410465816,-1.7244059792071604,1
1.386664285856318,-0.39074148840908807,-2.176179505248496,1
1.9610976324293703,-0.49072804993176045,-2.2427126877763524,1
1.9777495273105752,-0.5408888407168547,-2.766535484920429,1
2.1757255514538665,-0.5460432258903893,-2.6881864905735116,1
1.8672701685921576,-0.4651619759599849,-2.953461483648538,1
0.9208205674866263,-0.34730673258199063,-2.9867046595416857,1
1.807399085065132,-0.4464043863605457,-2.747943276450405,1
0.7546420166271539,-0.26800529580881716,-3.064482080578629,1
1.509007716231828,-0.35981917283951426,-3.215953528981182,1
1.1824791668094847,-0.32855285622052677,-3.0692149806397073,1
0.7908990403918102,-0.3734521381951246,-3.0903899596470064,1
1.8093303603923285,-0.39061254965981773,-2.904172614890166,1
1.1270397566717265,-0.28391356719115085,-2.9735420950024953,1
0.3317854427716227,-0.1906965773257226,-3.1575014179536884,1
0.6208658073037161,-0.26439928706373095,-3.036974198205508,1
0.07875982892501687,-0.2811123226477854,-2.8114100441414527,1
0.15012460742879297,-0.2889135669047745,-3.148583730490524,1
-0.5435929677156891,-0.23255242743013071,-2.8622767386712757,1
-0.7519165615584719,-0.19261461368519672,-2.9038752102846197,1
-0.8105123214191092,-0.2486368407695727,-3.0000812130571073,1
-0.05207634875817735,-0.377878161515649,-3.074085337753226,1
-0.5173292587128786,-0.24628425348209756,-2.6311478328864073,1
-0.5683681083773575,-0.31753290560525166,-2.5373739756780918,1
-1.0309541243272347,-0.2917130956451306,-2.5574855961850345,1
-0.9925377657208482,-0.25323515157852317,-2.3459812920548004,1
-1.013044430326496,-0.33984358338034487,-2.4480759495846223,1
-0.9827131681020796,-0.3422651058543961,-2.333854521224912,1
-0.6335876813217077,-0.3760849608606732,-2.2246566006580775,1
-0.5052316271900463,-0.3899362898390088,-1.8464045304672605,1
-0.7277038161544844,-0.38149001843121527,-2.1092823183049783,1
-0.6924998599942291,-0.43298473118376174,-1.9172345852750925,1
-1.1301326518623755,-0.2509074755030605,-1.9604234225294048,1
-1.3599742743175514,-0.21516612773935737,-1.934867870462493,1
-1.203713110648899,-0.23112264588704295,-2.2663396100722295,1
-1.1178060627203412,-0.2323906222760106,-2.358275935235692,1
-1.1124749175806086,-0.24908291078054012,-2.3394987896811337,1
-1.3623093404996491,-0.2534678852084955,-2.180199928529391,1
-1.014553018016231,-0.32422132754200417,-2.2892806170801046,1
-0.9983058323294721,-0.34701347119681764,-2.176392747585051,1
-1.0816784298579707,-0.21785744806758192,-2.0621603897709786,1
-0.6314002073872831,-0.2547572984516372,-2.10802997205379,1
-0.3958283491448025,-0.2362089246448471,-2.143872833808841,1
-0.3598509257169842,-0.37718462436466554,-2.5783588818969383,1
-0.1480224626803363,-0.3701168160462371,-2.6186684106138958,1
-0.22661860155872307,-0.36759921649412136,-2.5519629385499942,1
-0.7460253066533754,-0.20650566362315192,-2.590759075373507,1
-0.7919892318019738,-0.19205686955572981,-3.087330435582962,1
-1.0326528428149708,-0.21334853734719156,-2.924524211031686,1
-0.24608475560011656,-0.38324146926497327,-2.910783217279309,1
-0.17441394658543685,-0.36727370189019715,-3.0185243728938453,1
-0.41518419565968856,-0.41756012147828514,-3.2002176045430653,1
-0.31428582738002764,-0.4182174862926175,-3.0394154086698895,1
-0.6093976100055774,-0.43497317382080614,-2.9677414616983846,1
-0.6631206643969428,-0.4359408965228531,-2.854459091417766,1
-0.7882635306328063,-0.3949210907981493,-2.8032943193186926,1
-0.2608848090608872,-0.6250825756079155,-2.7377522923940316,1
-0.4943020102499882,-0.6224323111646283,-3.0149519971520067,1
-0.432343583220671,-0.6810250852440576,-2.8160261638124515,1
-0.40038811123874263,-0.8072577134858776,-2.8734782964418972,1
-0.6309523043161746,-0.8151030580830959,-2.9286387839044474,1
-0.9672800821952312,-0.715446227918645,-3.09319600738386,1
-0.6886150039092249,-0.8300145550650413,-2.752327556453392,1
-0.593843307979384,-0.8354594346628582,-3.136256619436324,1
-0.6965219796027936,-0.7272593454866287,-3.7499361860193856,1
-1.333040977043015,-0.8435220134043612,-3.4129558153349584,1
-0.40801224740397135,-0.8156003920735226,-3.588854956997078,1
-0.8819065907225139,-0.8606580590618614,-3.4692128366447794,1
-0.14644782115192512,-0.7464222747607449,-3.5436089110031417,1
