beta0,beta1,beta2,chains
-0.3509707630794337,-0.40018465030752237,-1.4394230037243159,1
-0.05953591610506487,-0.47850654781947893,-1.5025595099048021,1
-0.4823617498142507,-0.43878047740047643,-1.0929717868395719,1
-0.6261950467971928,-0.37161761221918077,-0.989397244310737,1
-0.839115491537034,-0.3584356805939005,-1.0435229546435687,1
-0.6797916830144948,-0.4148715347012063,-0.8923580977171728,1
-0.8961208512012371,-0.3096451600904567,-0.647303058032904,1
-0.9860475369370526,-0.3302560676357109,-0.9022048312593457,1
-1.3178422744114129,-0.21291294950651998,-0.27203031700788227,1
-1.1238699518821191,-0.24912787747939547,-0.41471393128115286,1
-0.7696951393679232,-0.26646553075967605,-0.5577649733716881,1
-0.9034175764790493,-0.2710893883191307,-0.7654218665324185,1
-1.0252606063798981,-0.20192126545452938,-0.8246947913863601,1
-1.1268699180876585,-0.1702654975830333,-0.8012527584694595,1
-1.0887394081762587,-0.19997427801524922,-0.8638225972863605,1
-0.9166094466104068,-0.2437978584269011,-0.5474685251779075,1
-0.944374986645403,-0.29910676579677975,-0.6100350196904114,1
-1.5177389284959708,-0.16763942514624053,-0.4089208892881214,1
-1.5460021612555754,-0.11422214473659345,-0.4802594993139685,1
-2.2007760762115485,0.01733597138697593,-0.7748960674578009,1
-2.7568687422543685,0.11330096003029404,-0.6674138094839728,1
-3.297085641165757,0.2237457461461311,-1.01932094182943,1
-3.376561413561032,0.23109275750357128,-0.887243837936856,1
-3.210303524883111,0.23661385211220423,-1.1030665632150933,1
-2.9364415180541776,0.1838403688283754,-1.3873520457395918,1
-2.6313758647366274,0.11444974742624034,-1.3356308610801864,1
-2.643265518672549,0.09245181830529736,-1.610674126189263,1
-2.9457383563563555,0.16331845687849605,-2.1065218811049107,1
-2.5471501483767227,0.09738427863168753,-1.8802965337131332,1
-3.2213856014110784,0.21520274985154594,-2.2080239156861223,1
-3.108909486793405,0.22121837350556622,-2.316224363313381,1
-3.259215214053242,0.2810492489051176,-2.4156721915896577,1
-4.182769145469095,0.38031774097385646,-2.429624777991797,1
-4.187661718740767,0.383548704231675,-2.571698905710453,1
-3.68484813109901,0.27619333166311794,-2.302907379970491,1
-3.642263468633715,0.2671583817827896,-2.511431637446402,1
-3.464569775822713,0.151378876579861,-2.4526534972382072,1
-3.329320067354778,0.15041871763323772,-2.394034736309865,1
-3.3037235209346116,0.1909226741757852,-2.611100256111028,1
-3.1688904539635314,0.12360323898770345,-2.5549278395486144,1
-3.0654429482927177,0.018179682430197006,-2.5502966305956383,1
-3.408132411977375,0.012158814023531726,-2.3627297518504053,1
-3.5030462464116234,0.038950463819592177,-2.537923738868538,1
-4.04486621214588,0.1520556289631814,-2.570297790435632,1
-4.223746456469885,0.23412368350121177,-2.2446239420600698,1
-4.0857533530530725,0.1926585529291874,-2.245195074018411,1
-3.9127915417147725,0.1943782160108879,-2.168039098817666,1
-4.010948967890961,0.1483526083458052,-2.262419682775112,1
-3.8058838246302633,0.07189573193520611,-2.3434926002812806,1
-3.8032755915992773,0.07863282028408405,-2.4580909365368213,1
-4.325380839955796,0.07406011407641976,-2.203064134122516,1
-4.50506129354914,0.10128877509301544,-2.1367326289825463,1
-3.8555991405398538,0.0007611065624486824,-1.8018676097962736,1
-4.11735573224507,-0.13494593324397028,-1.911287313278772,1
-4.1269160669281755,-0.07085545518656704,-1.8776890960123105,1
-4.302740034876152,-0.025303795406795213,-1.6054977363031249,1
